,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,isUSMarketOpen,lastTradeTime,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,previousVolume,primaryExchange,symbol,volume,week52High,week52Low,ytdChange
640,1326633,close,0.6,0.01208,50.28,1572638461342,A. O. Smith Corp.,50.28,1572639000004,0,0,50.28,1572647400002,50.51,,,,,,,,,,False,1572638399929,50.28,Close,"November 1, 2019",1572638461342,1258040,49.82,6956238000,50.18,1572615000410,,49.68,2141595,New York Stock Exchange,AOS,1258040,56.66,40.38,0.16878
641,1204350,previousclose,0,0,189.13,1561752048134,Harris Corp.,178.15,1562011219543,-10.63,-0.0562,178.5,1562023013506,191,,,,,,,,,,False,1562011219543,189.13,Previous close,"June 28, 2019",1561694400000,6650727,176.16,22341170380,190.43,1561728600514,24.92,189.13,4782109,New York Stock Exchange,HRS,6650727,200.77,123.24,0.420535
642,1682441,close,1.9,0.05886,34.18,1572638595444,"PBF Energy, Inc.",34.18,1572639000010,0,0,34.18,1572647400010,34.59,,,,,,,,,,False,1572638399931,34.18,Close,"November 1, 2019",1572638595444,2091931,32.57,4097977604,32.6,1572615000371,-45.31,32.28,2797450,New York Stock Exchange,PBF,2091931,44.64,21.09,0.077031
643,1027883,close,-0.38,-0.00682,55.34,1572638400489,"Ionis Pharmaceuticals, Inc.",55.34,1572638400194,0,0,55.34,1572644801362,56.81,,,,,,,,,,False,1572638400194,55.34,Close,"November 1, 2019",1572638400489,855930,55.04,7775270000,55.9,1572615000966,18.97,55.72,875727,NASDAQ,IONS,855930,86.58,48.27,0.022378000000000002
644,4094609,close,-0.01,-0.00064,15.65,1572638612121,Graphic Packaging Holding Co.,15.65,1572639000009,0.15,0.00958,15.8,1572647760930,15.84,,,,,,,,,,False,1572638399904,15.65,Close,"November 1, 2019",1572638612121,2717772,15.58,4542365550,15.78,1572615000443,21.04,15.66,2321341,New York Stock Exchange,GPK,2717772,15.88,10.12,0.44977700000000004
645,1480691,close,0.41,0.02216,18.91,1572638520472,"Under Armour, Inc.",18.91,1572639000005,-0.01,-0.00053,18.9,1572649260135,18.98,,,,,,,,,,False,1572638399932,18.91,Close,"November 1, 2019",1572638520472,1844300,18.57,8533080770,18.62,1572615000432,99.89,18.5,1043258,New York Stock Exchange,UA,1844300,24.55,15.05,0.17170400000000002
646,903104,close,1.93,0.02009,97.99,1572638520341,Ralph Lauren Corp.,97.99,1572639000003,0,0,97.99,1572647400009,98.47,,,,,,,,,,False,1572638399828,97.99,Close,"November 1, 2019",1572638520341,669617,96.93,7568747600,97.03,1572615000451,17.85,96.06,910353,New York Stock Exchange,RL,669617,137.34,82.69,-0.050566
647,10383494,close,0.52,0.02603,20.5,1572638453972,"Kinder Morgan, Inc.",20.5,1572639000008,-0.05,-0.00244,20.45,1572652693694,20.5,,,,,,,,,,False,1572638453963,20.5,Close,"November 1, 2019",1572638453972,10723834,20.05,46431885000,20.08,1572615000528,22.58,19.98,16191745,New York Stock Exchange,KMI,10723834,21.49,14.62,0.323498
648,344322,close,1.89,0.0211,91.46,1572638400613,"Lincoln Electric Holdings, Inc.",91.46,1572638400409,0,0,91.46,1572644804973,91.88,,,,,,,,,,False,1572638400409,91.46,Close,"November 1, 2019",1572638400613,454925,90.08,5592687540,90.34,1572615000833,18.13,89.57,806675,NASDAQ,LECO,454925,94.39,72.27,0.18932100000000002
649,342636,previousclose,0,0,110.59,1566244800458,"Ubiquiti Networks, Inc.",110.3,1566331244132,-0.29,-0.00262,110.3,1566331252729,111.45,,,,,,,,,,False,1566331244132,110.59,Previous close,"August 19, 2019",1566187200000,253828,110.25,7805552790,112.49,1566221400745,24.49,110.59,618781,NASDAQ,UBNT,253828,174.95,81.26,0.113584
